"qid","scenario","type","be005","be012","be017","be022","be027","be032","be037","be042","be047","be052","be057","be062","be067","be072","be077","be082","be087","be092","be097","be102","be107","be112","be117","be122","be127","be132","be137","be142","be147","be152","be157","be162","be167","be172","be177","be182","be187","be192","be197","be200"
"S53009","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,5212,24140.45,35612.38,38697.65,42330.37,44670.68,46098.97,50460.13,53936.4,54982.92,54982.92,54982.92,59910.77,65164.49,74139.69,84765.29,87318.34,92613.88,96633.29,96633.29,96633.29,99265.27,102112.04,108776.1,116372.04,117028.23,138883.07
"S53011","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.3,2933.7,6137.71,8279.28,8279.28,8279.28,8279.28,8279.28,8279.28,8279.28,8279.28,8279.28,8287.74,8419.05,8545.86,8942.76,9244.02,9244.02,9244.02,9244.02,9244.02,9244.02,9244.02,9244.02,9244.02
"S53013","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2759.39
"S53015","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.05,3841.31,13866.24,21723.19,25087.97,29679.58,35318.8,38937.52,39088.13,39391.2,40102.86,40583.06,42395.52,43771.21,43771.21,43771.21,43771.21,43771.21,43771.21,43771.21,43771.21,72518.42
"S53019","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026.56,10202,20061.32,25937.66,25937.66,25947.3,26097,26231.91,26993.42,29428.8,31739.65,32820.21,36459.21,39584.33,41537.9,45940.89,46451.83,88894.3
"S53027","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,4537.21,21971.32,34515.01,44707.42,56493.41,63385.72,63385.72,63385.72,63385.72,63962.7,66689.85,70070.68,72194.78,72194.78,72292.05,73801.73,75171.99,78506.05,81527.54,82283.92,83265.41,89060.6,94462.92,99782.21,105014.89,105437.47,167297.43
"S53029","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760.94,4425.58,8545.94,11677.61,14324.45,14589.19,14589.19,14589.19,14589.19,14589.19
"S53031","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,422.87,2552.71,3407.16,3940.38,3940.38,3940.38,4433.51,8808.35,19025.41,26525.9,28644.44,28644.44,28644.44,28644.44,28644.44,28712.75,29772.9,30772.81,33967.15,37844.56,40315.95,44332.64,48003.47,48370.64,48370.64,51247.94,51653.84,75834.88
"S53033","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,337.6,2093.49,2093.49,2365.91,3824.64,5991.57,11942.73,18947.41,23284.8,23887.05,24666.31,25070.37,26698.72,29852.43,32938.63,38509.43,42684.15,46554.93,49969.58,49969.58,50288.53,51824.58,53554.02,54878.06,55998.36,56110.41,56110.41,56110.41,56110.41,72802.64
"S53035","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,87.04,579.42,1362.33,4043.2,7270.84,9320.41,9320.41,9320.41,9320.41,10076.3,12888.69,16225.77,18150.04,18150.04,18181.06,18662.49,19114.89,21303.57,26723.85,31642.06,34982.3,38003.35,38550.21,39429.94,40348.32,40422.49,62596.42
"S53037","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958.5,2018.36,3958.35,5669.73,5669.73,5669.73,5669.73,5669.73,5669.73,5669.73,5669.73,5669.73,5669.73,5669.73,29376.44
"S53039","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518.6,4502.03,9741.38,13926.06,14663.14,16751.23,21130.21,23325.18,25257.05,26723.38,26723.38,26723.38,29679.82,32877.52,38239.13,44434.32,44978.85,80253.78
"S53041","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,474.88,3445.14,3445.14,6014.54,22982.85,43751.97,57909.33,63324.42,78063.71,89444.61,94099.4,99918.48,107060.73,111814.62,112244.61,113217.02,114074.85,114074.85,115326.89,121356.66,128822.84,137255.78,144814.05,145643.54,145879.58,146125.23,146145.07,206090.19
"S53043","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.96,1810.42,3537.98,4554.81,4554.81,4554.81,4554.81,4554.81,4554.81,4554.81,4554.81,4554.81,4554.81,4554.81,4554.81,4554.81,4554.81,18363.95
"S53045","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,829.21,6219.97,6219.97,6219.97,6219.97,6219.97,6457.86,9046.85,17090.57,23530.58,25889.98,28249.8,31253.99,37441.23,41805.9,48662.43,56056.39,57328.89,60022.99,62067.87,62067.87,62067.87,62067.87,62067.87,62067.87,62157.94,62170.65,62330.71
"S53047","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119.74,2074.12,2700.75,4428.55,5586.23,8651.97,10978.92,10978.92,10978.92,10978.92,10978.92,10978.92,10978.92,10978.92,41925.11
"S53049","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,1480.52,11310.79,19230.96,24902.09,30320.15,36964.14,41724.57,45200.17,53237.54,59116.57,60832.62,61104.12,61437.84,63997.61,66747.43,72479.47,78629.55,79652.49,81668.1,83197.98,83197.98,83197.98,83197.98,83197.98,83197.98,83534.97,83582.51,95069.4
"S53051","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2391.88,7818.9,13255.8,15369.99,15369.99,15369.99,15369.99,16198.57,18018.98,19863.86,20547.95,20547.95,20547.95,20547.95,20547.95,20547.95,20547.95,20547.95,20547.95,20547.95,20547.95,20547.95,20547.95,20547.95,56026.93
"S53053","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,144.89,925.1,1595.18,3350.47,5559.21,7341.1,9741.28,15631.1,20031.08,21903.36,24524.92,27721.99,29669.67,29669.67,29775.47,31417.62,33000.01,37909.54,41635.97,41635.97,41635.97,41635.97,41635.97,41635.97,42399.42,42507.12,55259.47
"S53055","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.95,1411.9,2768.14,3571.7,3571.7,3571.7,3571.7,3571.7,3571.7,3571.7,3571.7,3571.7,3571.7,3571.7,3571.7,3571.7,3571.7,4545.55
"S53057","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,175.18,1099.6,1099.6,1099.6,1099.6,1099.6,1099.6,1099.6,1099.6,1099.6,1152.2,1333.34,1544.64,1662.09,1662.09,1715.23,2540.03,3291.45,5089.9,6454.95,6454.95,6454.95,6454.95,6454.95,6454.95,6667.28,6697.23,63895.91
"S53059","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1426.5,6430.65,12042.14,15126.2,15424.92,16447.87,17285.97,17852.07,19078.85,20553.87,21427.75,21427.75,21427.75,21427.75,21427.75,21427.75,21427.75,21427.75,21427.75,21427.75,21427.75,21427.75,21845.83,21904.8,31405.38
"S53061","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,629.62,4375.16,4375.16,6884.54,17128.73,28931.75,35782.96,35835.02,36048.67,36230.18,36287.25,36287.25,36287.25,37612.09,39174.53,42446.86,45333.59,45333.59,45333.59,45333.59,45333.59,45333.59,45333.59,45333.59,45333.59,46309.19,46446.82,55112.22
"S53063","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.38,360.81,750.38,1006.33,1006.33,1006.33,1006.33,1006.33,1006.33,1006.33,1006.33,1006.33,1006.33,1006.33,1006.33,3634.95,4005.77,19123.61
"S53065","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,561.38,2863.96,5214.71,10005.44,15661.09,19314.93,21054.79,25001.22,27867.04,28669.14,28669.14,28669.14,28669.14,28669.14,28669.14,28669.14,28669.14,28928.66,30178.49,31498.92,32161.79,37123.22,41982.77,45542.56,50740.58,51269.21,81541.2
"S53067","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.83,1445.81,3898.43,5551.45,5983.64,5983.64,5983.64,5983.64,5983.64,5983.64,5983.64,5983.64,6038.25,6301.26,6681.83,7311.93,8467.96,9152.4,10738.92,12382.92,12515.69,37046.95
"S53069","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.66,1518.93,3167.53,4264.43,4264.43,4264.43,4264.43,4264.43,4264.43,4264.43,4264.43,4264.43,4264.43,4264.43,4264.43,4956.14,8287.41,12232.46,16032.41,19436.44,19864.2,20150.33,20448.29,20472.35,28136.37
"S53071","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477.93
"S53073","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,2893.69,15190.71,15190.71,15190.71,15230.57,15444.85,15701.43,15963,17026.82,20236.06,22786.14,24596.44,28968.54,34277.79,39162.69,40963.62,44055.45,47101.32,47448.91,48815.74,49910.97,50014.28,50197.99,50366.84,50383.73,50383.73,51428.92,51576.36,75131.12
"S53077","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92,91.18,296.19,450.16,494.47,494.47,494.47,494.47,494.47,494.47,494.47,494.47,759.15,2033.86,3569.71,5149.34,6537.64,6676.5,6676.5,7936.56,8114.31,67452.82
"S54001","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,1136.29,1136.29,1136.29,13193.08,13193.08,13193.08,13193.08,13193.08,13193.08,13193.08,13193.08,13193.08,13193.08,13193.08,13193.08,13193.08,13193.08,13193.08,13193.08,13193.08,13193.08,13193.08,19897.02,30920.49,32653.63,32653.63,39652.85
"S54003","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1940.23,1940.23,1940.23,1940.23,1940.23,1940.23,1940.23,1940.23,1940.23,1940.23,1940.23,1940.23,1940.23,1940.23,1940.23,1940.23,1940.23,1940.23,1940.23,1940.23,1940.23,1940.23,1940.23,21733.43
"S54005","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1238.82,6525.35,8659.31,8659.31,11889.25,13023.92,13023.92,13023.92,14849.39,18224.67,22629.65,26941.21,28282.02,28282.02,28282.02,28282.02,28282.02,28282.02,52123
"S54007","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455.63,2959.55,5824.16,5824.16,5824.16,5824.16,7133.91,10096.64,15424.67,17336.17,19087.2,23339.47,30308.55,32323.36,32513.88,32513.88,32513.88,32513.88,65704.73
"S54009","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235.25,1235.25,1235.25,1235.25,1235.25,1235.25,1235.25,1235.25,1235.25,1235.25,1235.25,1235.25,1235.25,1235.25,1235.25,4992.53,9018.69,10080.78,10080.78,10080.78,10080.78,10080.78,10080.78,10080.78
"S54011","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22808.32
"S54013","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3687.16,7426.55,9006.18,10945.12,13587.63,15077.81,16159.54,20100.49,21890.81,21890.81,21890.81,21890.81,22109.07,23601.89,28460.01
"S54015","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.05,3907.38,7359.62,8862.29,10691.53,14113.93,17713.99,18625.49,18625.49,18625.49,18625.49,18625.49,18625.49,20978.37,23313.31,23657.29,23657.29,23657.29,23657.29,44272.03
"S54017","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973.1,3055.62,8389.97,12721.37,13649.25,13649.25,13649.25,13649.25,13649.25,13649.25,13649.25,13649.25,13649.25,13649.25,13649.25,13649.25,26230.57
"S54019","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,1048.37,1048.37,1048.37,1048.37,1048.37,1048.37,1048.37,1048.37,1048.37,1048.37,1048.37,1048.37,1048.37,1048.37,1048.37,1048.37,1048.37,1048.37,1048.37,1048.37,1166.08,2812.73,3614.64,3614.64,3614.64,3614.64,3614.64,3614.64,62487.24
"S54021","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8361.62,8361.62,8361.62,11233.37,12750.28,12750.28,16972.29,20269.56,20896.54,20896.54,21422.88,21727.2,21727.2,21727.2,21727.2,21727.2,21727.2,21727.2,21727.2,21727.2,22124.86,23144.98,38075.42
"S54023","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,5462.77,5462.77,5462.77,9649.61,9649.61,16098.16,16756.04,21797.28,26943.6,26943.6,26943.6,26943.6,26943.6,26943.6,27816.15,30771.77,34361.18,38378.85,46190.81,52338.19,53780.64,53780.64,57021.04,59592.64,61144.9,64353.02,81774.07
"S54025","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6630.53,7613.23,7613.23,12446.64,12446.64,16079.6,24339.36,24339.36,24339.36,24339.36,24339.36,24339.36,24339.36,28036.54,35343.04,39944.35,42226.6,43410.06,46553.08,51034.66,57224.38,58241.75,58241.75,59034.3,61227.51,118148.17
"S54027","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,2265.01,2265.01,7978.82,7978.82,7978.82,7978.82,7978.82,7978.82,7978.82,7978.82,7978.82,7978.82,7978.82,7978.82,8167.93,11250.78,12285.35,12285.35,12285.35,12285.35,13913.31,16900.71,17989.21,17989.21,21996.18,26240.65,27875.32,31302.85,65257.39
"S54031","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,928.91,1066.55,2268.64,2268.64,2268.64,2300.4,2885.35,2885.35,2885.35,3049.06,5833.78,11412.92,20721,23380.05,23380.05,25979.52,31865.12,34026.43,34026.43,34026.43,34026.43,34026.43,34026.43,34026.43,34026.43,75432.13
"S54033","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730.82,3510.8,3510.8,3510.8,5523.47,6463.42,6543.29,6543.29,11662.09,14061.97,15190.78,16866.07,17420.57,17420.57,20476.11,21020.18,21020.18,21020.18,39609.22
"S54035","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.26,3480.25,3698.94,5908.81,11030.39,11030.39,11196.34,12940.95,13845.05,18224.26,20601.33,20601.33,20601.33,20601.33,20601.33,20601.33,20601.33,20601.33,20601.33,20601.33,50604.1
"S54037","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2546.41
"S54039","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,1811.15,1811.15,1811.15,1811.15,1811.15,4086.74,4086.74,4086.74,4086.74,4086.74,4086.74,4149.97,5225.5,5670.31,5670.31,5670.31,5670.31,5670.31,5670.31,6852.9,8424.03,8911.94,8911.94,8911.94,8911.94,10181.61,13732.4,74174.14
"S54041","usfs","pulpwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.79,2756.52,9827.24,9827.24,12939.29,17771.23,19053.53,19053.53,19053.53,19053.53,19053.53,19053.53,19053.53,19053.53,19053.53,19053.53,19053.53,19053.53,33161.91
