CompanyID,City,State
5313,Hartford,IL
5926,Hartford,IL
5942,Hartford,VT
5942,Hartford,VT
5942,Hartford,VT
586,Harvey,LA
1821,Hatboro,PA
1821,Hatboro,PA
1821,Hatboro,PA
1821,Hatboro,PA
1206,Hearne,TX
1706,Hearne,TX
215,Heath,OH
1630,Heidelberg,MS
518,Helena,MT
700,Helena,MT
1872,Helena,AR
893,Henderson,KY
1599,Henderson,CO
2407,Henderson,KY
2065,Heyworth,IL
330,Hilo,HI
2318,Hilo,HI
3337,Hilo,HI
3337,Hilo,HI
5899,Hilo,HI
5900,Hilo,HI
5594,Holland,MI
5594,Holland,MI
3052,Holtsville,NY
5418,Homer,AK
331,Honolulu,HI
1554,Honolulu,HI
2214,Honolulu,HI
2214,Honolulu,HI
2214,Honolulu,HI
3334,Honolulu,HI
3334,Honolulu,HI
3335,Honolulu,HI
5883,Honolulu,HI
5893,Honolulu,HI
5894,Honolulu,HI
715,Houston,TX
717,Houston,TX
858,Houston,TX
858,Houston,TX
858,Houston,TX
870,Houston,TX
870,Houston,TX
1003,Houston,TX
1275,Houston,TX
1275,Houston,TX
1626,Houston,TX
1626,Houston,TX
1707,Houston,TX
1870,Houston,TX
2503,Houston,TX
2503,Houston,TX
3227,Houston,TX
3227,Houston,TX
3227,Houston,TX
3445,Houston,TX
3445,Houston,TX
3445,Houston,TX
5290,Houston,TX
5551,Houston,TX
5551,Houston,TX
5551,Houston,TX
5652,Houston,TX
5652,Houston,TX
7753,Houston,TX
3329,Hugheston,WV
3329,Hugheston,WV
203,Huntington,IN
380,Huntington,IN
1785,Huntington,IN
1785,Huntington,IN
1785,Huntington,IN
322,Huntington Beach,CA
937,Hutchison,KS
5443,Iliamna,AK
7882,Imperial,CA
133,Indianapolis,IN
133,Indianapolis,IN
1031,Indianapolis,IN
1035,Indianapolis,IN
1564,Indianapolis,IN
1564,Indianapolis,IN
1762,Indianapolis,IN
1762,Indianapolis,IN
2178,Indianapolis,IN
7841,Indianapolis,IN
7841,Indianapolis,IN
85,Indianola,PA
85,Indianola,PA
3093,Indianola,MS
3093,Indianola,MS
3388,Intracoastal City,LA
1187,Inwood,NY
5686,Inwood,NY
713,Irving,TX
678,Iuka,MS
678,Iuka,MS
385,Jackson,MI
1044,Jackson,MI
1570,Jackson,MI
