Longitude,Latitude,Company,Address,City,State,zipcode,Company Website,Feedstock,Status,Capacity [Mg/y],State Date
-91.06329800000,41.39884500000,Grain Processing Corp.,1600 Oregon Street,Muscatine,IA,52761,http://www.grainprocessing.com/,Corn,operating,10,2000
-95.55150000000,44.80617900000,Granite Falls Energy - LLC*,,Granite Falls,MN,,http://www.granitefallsenergy.com/,Corn,operating,50,November 2005
-84.10522460930,40.74254989680,Greater Ohio Ethanol LLC,,Lima,OH,,,corn,Not Producing,54,November 2007
-89.19133400000,36.26021100000,Green Plains Renewable Energy,,Obion,TN,,http://www.gpreinc.com/,Corn,operating,100,November 2008
-98.92619323670,41.60334014890,Green Plains Renewable Energy,,Ord,NE,,,Corn,operating,45,May 2007
-85.20312100000,40.72136500000,Green Plains Renewable Energy,1469 S Adams Street,Bluffton,IN,46714,http://www.gpreinc.com/,Corn,operating,100,September 2008
-94.95429100000,43.45230000000,Green Plains Renewable Energy,1495 320th Avenue,Superior,IA,51363,http://www.gpreinc.com/,Corn,operating,50,November 2007
-95.39920000000,40.75710800000,Green Plains Renewable Energy,4124 Airport Road,Shenandoah,IA,51601,http://www.gpreinc.com/,Corn,operating,50,June 2007
-98.00101900000,41.11210600000,Green Plains Renewable Energy,214 20th Street,Central City,NE,68826,http://www.gpreinc.com/,corn,operating,100,April 2004
-93.67227600000,44.10927800000,Guardian Energy,4745 380th Avenue,Janesville,MN,56048,http://www.verasun.com,corn,operating,110,maybe Dec 2009
-96.88695500000,46.07559300000,Hankinson Renewable Energy - LLC,9230 County Road 1,Hankinson,ND,58041,http://www.murphyoilcorp.com/,corn,operating,110,2008
-94.40453500000,41.51878600000,Hawkeye Renewables - LLC,,Menlo,IA,,http://www.hawkeye-energy.com/default.aspx,Corn,operating,115,October 2008
-92.58073600000,42.71225600000,Hawkeye Renewables - LLC,,Shell Rock,IA,,http://www.hawkeye-energy.com/default.aspx,Corn,operating,115,October 2008
-93.28948500000,42.50689900000,Hawkeye Renewables - LLC,21050 140th Street,Iowa Falls,IA,50126,http://www.hawkeye-energy.com/default.aspx,Corn,operating,100,November 2004
-92.02686700000,42.64052400000,Hawkeye Renewables - LLC,1277 102nd Street,Fairbank,IA,50629,http://www.hawkeye-energy.com/default.aspx,Corn,operating,115,June 2006
-94.36878700000,44.54308400000,Heartland Corn Products*,,Winthrop,MN,,,Corn,operating,95,2000
-98.25482900000,44.37494300000,Heartland Grain Fuels - LP,694 West Park Avenue NW,Huron,SD,57350,http://www.advancedbioenergy.com/,Corn,operating,30,November 1999
-98.54288200000,45.45972300000,Heartland Grain Fuels - LP,38469 133rd Street,Aberdeen,SD,57401,http://www.advancedbioenergy.com/,Corn,operating,48,Jan 2008
-95.29538900000,43.81209500000,Heron Lake BioEnergy - LLC,91246 390th Avenue,Heron Lake,MN,5613,http://www.heronlakebioenergy.com/,Corn,operating,50,sept 2007
-95.26416778480,44.23106765740,Highwater Ethanol LLC,,Lamberton,MN,,,corn,operating,55,August 2009
-92.31785400000,43.05931000000,Homeland Energy,,New Hampton,IA,,http://www.homelandenergysolutions.com,Corn,operating,100,April 2009
-101.93560300000,34.29003700000,Husker Ag - LLC*,54048 Hwy 20,Plainview,NE,68759,http://www.huskerag.com/,Corn,operating,67,March 2003
-116.67615900000,43.65499600000,Idaho Ethanol Processing,,Caldwell,ID,,http://www.idahoethanol.com/,Potato Waste,operating,5,March 2007
-89.02484400000,41.86215900000,Illinois River Energy - LLC,1900 Steward Road,Rochelle,IL,61068,http://www.illinoisriverenergy.com/,Corn,operating,100,November 2006
-87.15073500000,40.93654000000,Iroquois Bio-Energy Company - LLC,,Rensselaer,IN,47978,http://www.ibecethanol.com/index.asp,corn,operating,40,January 2007
-98.95182200000,40.50310100000,KAAPA Ethanol - LLC*,,Minden,NE,,http://www.kaapaethanol.com/,Corn,operating,40,November 2003
-98.20212400000,38.28960200000,Kansas Ethanol - LLC,1630 Avenue Q,Lyons,KS,67554,http://kansasethanol.net/,Corn,operating,55,May 2008
-104.62800900000,44.09952500000,KL Process Design Group,,Upton,WY,,,Wood waste,operating,2,August 2007
-94.80064800000,45.66793200000,Land O\ Lakes*,1000 E. Kraft Drive,Melrose,MN,56352,,Cheese whey,operating,3,1986
-102.36761300000,33.58038900000,Levelland/Hockley County Ethanol - LLC,,Levelland,TX,,,Corn and milo,operating,40,2008
-94.84656300000,39.73599800000,Lifeline Foods - LLC,2811 S. 11th Street,St. Joseph,MO,64503,http://www.lifeline-foods.com/,Corn,operating,40,July 2007
-87.62680200000,39.00605100000,Lincolnland Agri-Energy - LLC*,10406 N. 1725th Street,Palestine,IL,62451,,Corn,operating,45,July 2004
-93.51146400000,42.02311900000,Lincolnway Energy - LLC*,59511 West Lincoln Hwy,Nevada,IA,50201,http://www.lincolnwayenergy.com/,Corn,operating,50,May 2006
-95.76002500000,42.82142800000,Little Sioux Corn Processors - LP*,4808 F Avenue,Marcus,IA,51035,http://www.littlesiouxcornprocessors.com/,Corn,operating,92,April 2003
-97.38770600000,42.04745300000,Louis Dreyfus Commodities,3002 North Victory Road,Norfolk,NE,68701,http://www.ldcommodities.com/,Corn,operating,40,September 2007
-94.24080657900,42.03165054270,Louis Dreyfus Commodities Grand Jun,,Grand Junction,IA,,,corn,operating,100,May 2009
-92.92153611000,30.23548611000,Louisiana Green Fuels LLC,,Lacassine,LA,,,sugarcane/sweet sorghum,construction,25,unknown
-89.34405300000,41.25997900000,Marquis Energy - LLC,,Hennepin,IL,61327,http://www.marquisenergy.com/,Corn,operating,100,May 2008
-82.48117000000,42.91109100000,Marysville Ethanol - LLC,,Marysville,MI,,,Corn,operating,50,Aug 2008
-104.84398300000,39.67205300000,Merrick & Company,2450 South Peoria Street,Aurora,CO,,http://www.merrick.com/,Waste beer,operating,3,December 1995
-89.64065551710,40.56753921490,MGP Ingredients Inc.,,Pekin,IL,,,Corn / Wheat Starch,Not Producing,78,February 1980
-95.12208557080,39.56647491490,MGP Ingredients Inc.,,Atchison,KS,,,corn/wheat starch,operating,2,at least since 1998
-101.54197600000,40.85410900000,Mid America Agri Products/Wheatland,675 E Stone Street,Madrid,NE,69150,,Corn,operating,44,June 2008
-93.21783800000,39.12855200000,Mid-Missouri Energy - Inc.*,Highway 65,Malta Bend,MO,65339,http://www.midmissourienergy.com/,Corn,operating,40,January 2005
-101.12892600000,41.15672000000,Midwest Renewable Energy - LLC,,Sutherland,NE,69165,http://www.mreethanol.com/,Corn,operating,25,1999
-94.62203700000,44.73752900000,Minnesota Energy*,514 West Yellowstone Trail,Buffalo Lake,MN,55314,http://www.fromfieldtofuel.com/,Corn,operating,18,1997
-98.97815704330,42.53139495910,NEDAK Ethanol LLC,,Atkinson,NE,,,corn,operating,44,fourth quarter 2007
