chem_code,casnum
731,"67-03-8     "
736,"17781-31-6  "
744,"68476-78-8  "
744,"8052-35-5   "
746,"119-36-8    "
747,"67-64-1     "
749,"2122-70-5   "
753,"33271-65-7  "
759,"64-02-8     "
760,"2536-31-4   "
761,"61-31-4     "
762,"7440-02-0   "
763,"8002-05-9   "
765,"68815-10-1  "
766,"68608-26-4  "
767,"319-84-6    "
767,"608-73-1    "
768,"10042-71-4  "
769,"10043-35-3  "
771,"125-67-7    "
772,"61789-31-9  "
772,"67701-10-4  "
772,"68952-95-4  "
772,"90990-14-0  "
773,"35535-81-0  "
774,"25155-30-0  "
775,"59-40-5     "
776,"25567-55-9  "
777,"25167-83-3  "
778,"5716-15-4   "
780,"25059-78-3  "
782,"85-07-4     "
783,"2876-78-0   "
785,"19480-43-4  "
786,"2039-46-5   "
787,"26544-20-7  "
788,"3653-48-3   "
789,"53404-48-1  "
790,"1432-14-0   "
792,"14697-50-8  "
797,"17601-49-9  "
799,"53404-90-3  "
800,"3426-62-8   "
801,"2307-55-3   "
802,"1929-73-3   "
803,"1928-45-6   "
804,"94-80-4     "
805,"5742-19-8   "
806,"2008-39-1   "
807,"2212-54-6   "
809,"25168-26-7  "
809,"53404-37-8  "
810,"94-11-1     "
811,"3766-27-6   "
812,"1320-18-9   "
813,"2702-72-9   "
814,"28685-18-9  "
815,"2569-01-9   "
816,"32341-80-3  "
818,"53535-37-8  "
819,"2545-59-7   "
822,"93-79-8     "
824,"1928-48-9   "
828,"19398-13-1  "
829,"32534-95-5  "
831,"1076-46-6   "
833,"87-10-5     "
834,"1689-99-2   "
835,"26952-20-5  "
836,"13347-42-7  "
837,"32357-46-3  "
838,"2758-42-1   "
839,"87-12-7     "
840,"69484-13-5  "
842,"69484-12-4  "
844,"101-20-2    "
846,"92-04-6     "
848,"540-72-7    "
849,"2300-66-5   "
850,"2008-46-0   "
851,"25168-15-4  "
853,"104-60-9    "
854,"497-19-8    "
856,"30622-37-8  "
857,"53404-47-0  "
861,"15165-79-4  "
864,"9004-87-9   "
865,"143-18-0    "
870,"35860-86-7  "
871,"7664-38-2   "
873,"8014-17-3   "
875,"20940-37-8  "
877,"112-12-9    "
886,"135-19-3    "
887,"1319-86-4   "
889,"7379-26-2   "
